name,iou_fixed,iou_otsu,iou_adaptive,f1_fixed,f1_otsu,f1_adaptive,pr_auc
0000,0.1132223800462752,0.23440602499047314,0.2056836933394882,0.2034137690289135,0.37978755813717324,0.3411901387996515,0.21731644888120272
0001,0.04607787377334814,0.1078948143349333,0.17321562518031272,0.08809645042417129,0.194774473061691,0.29528352923818424,0.12362854478082602
0002,0.06359193468145503,0.13193596869042457,0.1502095603342008,0.11957957296940348,0.23311560430943068,0.2611864229168056,0.13053566240947875
0003,0.09355046692040515,0.12108390614121961,0.14182137326915875,0.17109492382890507,0.21601221010832536,0.24841253910514693,0.1552869217868701
0004,0.012430862059332923,0.10348761244283633,0.14265920270661295,0.02455646607620782,0.18756461110377398,0.24969685163992306,0.10968582355719293
0005,0.10057617009190319,0.12129426966588434,0.15223581582235027,0.18277003050775598,0.21634690009077953,0.26424420024420026,0.14680149967292172
0006,0.08172652930329512,0.14434518213708225,0.14967030627622563,0.1511038642196055,0.2522755972415865,0.26037083059230565,0.1407133414227926
0007,0.047355762320451515,0.14164024372061587,0.14896189959206926,0.09042918180071545,0.24813463698337934,0.2592982406900649,0.1278718615214734
0008,0.09651455905996308,0.16674643230073094,0.16094166252765613,0.17603880999574611,0.2858314843473235,0.2772605510207058,0.1611169221600708
0009,0.03862243500760173,0.11002578318209433,0.15128959104176387,0.0743724258321438,0.1982400496440453,0.2628176129080902,0.11593194994153191
0010,0.1033026250266771,0.17277755630855093,0.19716347030005468,0.18726072554060916,0.29464676464714706,0.32938437430042533,0.19397621938831625
0011,0.136937463471654,0.18903294277013657,0.17608237849669192,0.24088829486454533,0.31796081667802933,0.29943885176099033,0.20315044870005056
0012,0.05498535026191956,0.1506403654951598,0.18333495528811322,0.10423907829292309,0.26183744289265243,0.3098614715450126,0.14791447233031738
0013,0.10473333333333333,0.18602715724923347,0.17475766103814885,0.1896083519401364,0.31369797244894193,0.2975212111129596,0.18041055073625648
0014,0.06844966545012166,0.09587776963838916,0.1565012799677087,0.1281289473216033,0.1749789480080909,0.2706460990204498,0.13987270444854188
0015,0.09928699572197433,0.15781982780746168,0.1866858515288621,0.18063889795542612,0.2726155210285553,0.314633988916858,0.171318713054736
0016,0.04795143054495219,0.1268201348305334,0.16757780668001446,0.09151460487060292,0.22509383868900484,0.287052058922769,0.13816946699026494
0017,0.048964031491059996,0.10817787885306862,0.14185488337743862,0.09335693125999678,0.19523558612274328,0.24846394308504904,0.1129668325761392
0018,0.03628726847070165,0.0969331209476589,0.13747640692882432,0.07003322259136213,0.17673478737503476,0.2417217730256214,0.09956070972211681
0019,0.12570344256653054,0.2233816900874967,0.19027060780440014,0.22333314052932962,0.36518723779742096,0.31970983162455396,0.21292807428019828
0020,0.0637221002836325,0.13494817693873773,0.14478459839040556,0.11980967635558487,0.23780500234421184,0.25294644703287616,0.1318377372988516
0021,0.11989139890825311,0.19641402157854682,0.1822404943961454,0.21411254524346104,0.3283378797573744,0.3082968232943647,0.19463499297572906
0022,0.02782847970648934,0.10425070375136998,0.15939391627937385,0.05415004595793287,0.18881709270767696,0.27496076017180937,0.11363149822858117
0023,0.11718721055166537,0.21143101061122635,0.1912167057780277,0.2097897459706838,0.3490599279022072,0.32104436556426064,0.20620155337564627
0024,0.12858699950806865,0.19621667925408162,0.18390710382513661,0.22787255136576529,0.32806210222120524,0.3106782672913157,0.20178585529156745
0025,0.15101598482795991,0.16858656057561744,0.14715072245046254,0.2624046699934093,0.2885307195259473,0.25654993641311497,0.19813634889404982
0026,0.23051922928112667,0.2760126224317739,0.22096993040661794,0.3746698528486983,0.4326173857210911,0.36195802190317433,0.32387216480186154
0027,0.04972286498412527,0.1109501778858999,0.17063391689494276,0.09473522325319116,0.19973925040821236,0.29152395882658527,0.13172757667508123
0028,0.17893285815149784,0.17668022942301093,0.14565057255742317,0.30355054898046485,0.30030287754498375,0.2542670095861585,0.2186988679656282
0029,0.20340195857951873,0.22995196895307243,0.18056783889969824,0.3380449186232204,0.3739202420218184,0.3058999795691358,0.2637652080633812
0030,0.023441356151636526,0.15538932777253808,0.19832595034511177,0.04580888980250154,0.2689817605847397,0.33100501626956325,0.14996817717287106
0031,0.05845400924015266,0.17034800346441636,0.16795999870125652,0.11045167523549912,0.2911065819058249,0.28761258756810854,0.15149856735806297
0032,0.10937790733734416,0.16749179622496746,0.1499288338684585,0.19718782321862857,0.28692586409008564,0.26076193491745947,0.16165806421043424
0033,0.06547162669720585,0.12456515221457092,0.1524657309813773,0.12289698769390525,0.22153478963716536,0.2645904808840533,0.12921498672850829
0034,0.11584422147587413,0.14545994915695004,0.14379363282869598,0.20763511473429952,0.2539764908655383,0.2514328261700189,0.15830726113318364
0035,0.11805178169396786,0.18402608511695073,0.1742411654669318,0.21117408625762718,0.31084802510710524,0.2967723677063316,0.18196807181100422
