dir,image_size,repo_id,transform,distance_metric,file,distance,distance_pos,complexity,is_real,expected_error,normalized_score
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0000.png,-0.0181732177734375,0.0181732177734375,0.1357421875,False,0.04858190977046636,0.37407376242103313
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0001.png,-0.012481689453125,0.012481689453125,0.13037109375,False,0.04772929501176102,0.26151003173311854
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0002.png,-0.01096343994140625,0.01096343994140625,0.1866455078125,False,0.057832264241429336,0.18957307110850355
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0003.png,-0.007053375244140625,0.007053375244140625,0.053955078125,False,0.0381513660436411,0.18487870751658841
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0004.png,-0.01207733154296875,0.01207733154296875,0.18603515625,False,0.0577088122300544,0.20928054271543212
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0005.png,-0.007724761962890625,0.007724761962890625,0.057220458984375,False,0.03846309356756216,0.20083569069455456
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0006.png,-0.01035308837890625,0.01035308837890625,0.203857421875,False,0.06143889066415874,0.16851034038845158
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0007.png,-0.017669677734375,0.017669677734375,0.243408203125,False,0.07064332553239466,0.2501252255780665
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0008.png,-0.01137542724609375,0.01137542724609375,0.12139892578125,False,0.04635759822177113,0.24538430985303844
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0009.png,-0.01241302490234375,0.01241302490234375,0.1279296875,False,0.04734953251248969,0.26215728527139076
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0010.png,-0.005405426025390625,0.005405426025390625,0.07745361328125,False,0.0405888137452801,0.13317526497110793
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0011.png,-0.01103973388671875,0.01103973388671875,0.2420654296875,False,0.0703098763084442,0.1570154075977642
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0012.png,-0.00684356689453125,0.00684356689453125,0.1485595703125,False,0.05071176900911145,0.1349502694986179
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0013.png,-0.011993408203125,0.011993408203125,0.178955078125,False,0.05629900595391721,0.213030550005484
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0014.png,-0.006740570068359375,0.006740570068359375,0.08453369140625,False,0.041411632341806004,0.16276996793373472
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0015.png,-0.013946533203125,0.013946533203125,0.1722412109375,False,0.054999943161102974,0.25357359301760624
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0016.png,-0.01180267333984375,0.01180267333984375,0.131103515625,False,0.04784417312681519,0.246689880261066
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0017.png,-0.00714111328125,0.00714111328125,0.075927734375,False,0.040416845152141154,0.1766865586457504
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0018.png,-0.00920867919921875,0.00920867919921875,0.1309814453125,False,0.047824996345932035,0.192549501365556
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0019.png,-0.00772857666015625,0.00772857666015625,0.135498046875,False,0.04854264335747623,0.15921210971643437
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0020.png,-0.0107421875,0.0107421875,0.0552978515625,False,0.03827849871966009,0.2806324140001536
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0021.png,-0.011993408203125,0.011993408203125,0.11724853515625,False,0.045745314957004214,0.26217784737950856
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0022.png,-0.0103912353515625,0.0103912353515625,0.21142578125,False,0.06310137743708047,0.16467525391064228
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0023.png,-0.00519561767578125,0.00519561767578125,0.0887451171875,False,0.04192048845125028,0.12393981720473704
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0024.png,-0.0130615234375,0.0130615234375,0.1591796875,False,0.052578164633415525,0.24842106088273153
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0025.png,-0.0095062255859375,0.0095062255859375,0.055694580078125,False,0.03831634248948105,0.24809846056019663
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0026.png,-0.0096282958984375,0.0096282958984375,0.2080078125,False,0.06234478339655298,0.15443627155130746
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0027.png,-0.0167694091796875,0.0167694091796875,0.042572021484375,False,0.03713278842323145,0.4516065152057373
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0028.png,-0.016693115234375,0.016693115234375,0.08465576171875,False,0.04142617792414702,0.40296054501916057
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0029.png,-0.013031005859375,0.013031005859375,0.10943603515625,False,0.044630951105242136,0.29197239889975013
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0030.png,-0.018218994140625,0.018218994140625,0.179931640625,False,0.05649102772207493,0.3225112885228248
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0031.png,-0.0121307373046875,0.0121307373046875,0.22509765625,False,0.06622317698045302,0.18317963374466478
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0032.png,-0.00455474853515625,0.00455474853515625,0.148681640625,False,0.05073269846434432,0.08977934691089601
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0033.png,-0.01026153564453125,0.01026153564453125,0.1982421875,False,0.06023566636839467,0.170356472555194
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0034.png,-0.007152557373046875,0.007152557373046875,0.09521484375,False,0.042730431747979164,0.167387903198173
